id,name,hindiName,category,description,sizes,image
kesar-bati,Kesar Bati,केसर बाटी,Royal Bengali & Milk Delicacies,Saffron-tinged golden chhena dumplings filled with dry fruits and soaked in light nectar.,250g | 500g | 1kg,
special-dahi-vada,Special Dahi Vada,स्पेशल दहीवड़ा,Savouries & Chaat,"Melt-in-mouth lentil dumplings soaked in sweet whisked curd, topped with tamarind and mint chutneys.",2 Pcs | Plate | Party Pack,
gulab-halwa-ki-barfi,Gulab Halwa Ki Barfi,गुलाब हलवा की बर्फी,Laddus & Halwa Specialities,Aromatic rose petal infused slow-cooked milk halwa set into delectable fudge squares.,250g | 500g | 1kg,gulab-halwa-ki-barfi.jpg
kaju-katli,Kaju Katli,काजू कतली,Royal Kaju & Dry Fruit,"Signature diamond slices made from the finest grade cashews, finished with edible silver leaf.",250g | 500g | 1kg,kaju-cassata.jpg
badam-katli,Badam Katli,बादाम कतली,Royal Kaju & Dry Fruit,Luxurious almond fudge slices crafted from 100% blanched almonds and pure saffron.,250g | 500g | 1kg,
kaju-anjeer-chakra,Kaju Anjeer Chakra,काजू अंजीर चक्र,Royal Kaju & Dry Fruit,Intricate spiral pinwheel combining rich cashew fudge with organic dried Turkish figs.,250g | 500g | 1kg,kaju-anjeer-chakra.jpg
kaju-pista-roll,Kaju Pista Roll,काजू पिस्ता रोल,Royal Kaju & Dry Fruit,Silky cashew rolls enclosing a vibrant emerald center of finely ground pistachios.,250g | 500g | 1kg,kaju-pista-roll.jpg
kaju-paan,Kaju Paan,काजू पान,Royal Kaju & Dry Fruit,"Artisan betel-leaf folded cashew treat stuffed with gulkand, crunchy nuts, and spices.",250g | 500g | 1kg,kaju-paan.jpg
kaju-bite,Kaju Bite,काजू बाइट,Royal Kaju & Dry Fruit,Crunchy roasted cashew fudge bite packed with assorted toasted nuts and natural flavors.,250g | 500g | 1kg,kaju-bite.jpg
kaju-dry-fruit-barfi,Kaju Dry Fruit Barfi,काजू ड्रायफ्रूट बर्फी,Dry Fruit & Healthy Confections,"Dense, opulent cashew fudge layered with crunchy roasted almonds and pistachios.",250g | 500g | 1kg,kaju-dry-fruit-barfi.jpg
anjeer-barfi,Anjeer Barfi,अंजीर बर्फी,Dry Fruit & Healthy Confections,"Naturally sweet, guilt-free fig confection loaded with chopped cashews and almonds.",250g | 500g | 1kg,anjeer-barfi.jpg
dry-fruit-laddu,Dry Fruit Laddu,ड्रायफ्रूट लड्डू,Dry Fruit & Healthy Confections,"Nutrient-dense power laddus handcrafted with dates, roasted nuts, and edible seeds.",250g | 500g | 1kg,dry-fruit-laddu.jpg
kaju-mix-box-fancy,Royal Kaju Mix Box Fancy,काजू मिक्स बॉक्स फैन्सी,Gift Boxes & Assortments,Exquisite gift box featuring a curated selection of handcrafted cashew and dry fruit delicacies.,500g Box | 1kg Box | Custom Hamper,kaju-mix-box-fancy.jpg
mix-mithai,Mix Mithai Box,मिक्स मिठाई,Gift Boxes & Assortments,Festive assorted box curated with Keshuji's most celebrated traditional and modern sweets.,500g Box | 1kg Box | Family Box,mix-mithai.jpg
kesar-malai-laddu,Kesar Malai Laddu,केसर मलाई लड्डू,Laddus & Halwa Specialities,Melt-in-mouth milk cream spheres infused with saffron strands and crushed cardamom.,250g | 500g | 1kg,kesar-malai-laddu.jpg
motichoor-laddu,Motichoor Laddu,मोतीचूर लड्डू,Laddus & Traditional Ghee Sweets,Fine micro-pearls of gram flour fried in pure desi ghee and bound with fragrant saffron syrup.,250g | 500g | 1kg,motichoor-laddu.jpg
gulab-jamun,Gulab Jamun,गुलाब जामुन,Laddus & Traditional Ghee Sweets,Golden brown fried khoya dumplings simmered gently in rose and cardamom-infused sugar syrup.,250g | 500g | 1kg,
kala-jamun,Kala Jamun,काला जामुन,Laddus & Traditional Ghee Sweets,Deep caramelized crisp outer crust enclosing a soft mawa and dry fruit stuffed core.,250g | 500g | 1kg,
balushahi,Balushahi,बालू शाही,Laddus & Traditional Ghee Sweets,"Flaky, multi-layered golden pastry fried in desi ghee with a glossy crystalline sugar glaze.",250g | 500g | 1kg,
guliya,Shahi Gujiya (Gulia),गुलिया,Laddus & Traditional Ghee Sweets,"Crisp crescent-shaped golden pastry filled with sweetened khoya, roasted nuts, and coconut.",250g | 500g | 1kg,guliya.jpg
besan-barfi,Besan Barfi,बेसन बर्फी,Laddus & Traditional Ghee Sweets,Slow-roasted gram flour fudge prepared in pure cow ghee with cardamom and almond slivers.,250g | 500g | 1kg,
dilkashmar-barfi,Dilkushar Barfi,दिलकशमार बर्फी,Artisanal Barfi & Mawa Sweets,"Royal Rajasthani wedding delicacy combining roasted besan, mawa, crunchy gondh, and ghee.",250g | 500g | 1kg,
doda-barfi,Doda Barfi,डोडा बर्फी,Artisanal Barfi & Mawa Sweets,"Traditional sprouted wheat and milk fudge with a chewy texture, enriched with nuts.",250g | 500g | 1kg,
mawa-roll,Mawa Roll,मावा रोल,Artisanal Barfi & Mawa Sweets,Tender rolled khoya sweet wrapped around a crunchy filling of pistachios and green cardamom.,250g | 500g | 1kg,
coconut-barfi,Coconut Barfi,नारियल बर्फी,Artisanal Barfi & Mawa Sweets,Fresh grated coconut simmered with condensed milk and cardamom into a tender white fudge.,250g | 500g | 1kg,
bombay-barfi,Bombay Barfi (Ice Halwa),बॉम्बे बर्फी,Artisanal Barfi & Mawa Sweets,Wafer-thin translucent sheets of sweet halwa garnished with saffron strands and slivered nuts.,250g | 500g | 1kg,
chocolate-barfi,Chocolate Barfi,चॉकलेट बर्फी,Artisanal Barfi & Mawa Sweets,Modern dual-layer fudge uniting traditional mawa with rich Dutch cocoa chocolate.,250g | 500g | 1kg,
kalakand-barfi,Kalakand Barfi,कलाकन्द बर्फी,Artisanal Barfi & Mawa Sweets,"Firm set slices of rich, slow-simmered granular milk and paneer fudge.",250g | 500g | 1kg,
gajar-ka-halwa,Gajar Ka Halwa,गाजर का हलवा,Seasonal Specialties,"Winter delicacy of slow-simmered red carrots, full-cream milk, mawa, ghee, and roasted cashews.",250g | 500g | 1kg,
